pixel,Red,Green,Blue
0,224,136,126
1,224,132,113
2,225,129,108
3,224,128,108
4,226,131,110
5,227,135,112
6,228,134,110
7,229,132,108
8,233,146,114
9,236,148,117
10,238,136,108
11,219,99,84
12,164,56,72
13,154,54,74
14,158,60,76
15,155,57,76
16,165,61,76
17,171,66,78
18,172,66,79
19,170,64,77
20,168,64,75
21,169,64,78
22,171,65,78
23,175,69,82
24,178,73,85
25,179,74,84
26,180,75,85
27,175,72,84
28,176,71,82
29,177,70,81
30,175,67,79
31,175,67,81
32,169,65,78
33,169,65,77
34,174,69,81
35,172,66,79
36,158,57,76
37,141,47,73
38,138,46,73
39,145,51,75
40,145,49,73
41,140,46,68
42,133,39,65
43,114,28,62
44,103,26,63
45,100,25,63
46,97,23,61
47,94,22,62
48,96,22,61
49,148,82,102
50,171,128,141
51,143,85,108
52,82,9,52
53,65,0,43
54,62,0,39
55,61,0,42
56,70,4,49
57,67,3,47
58,83,13,51
59,142,59,77
60,125,51,75
61,97,29,62
62,96,32,64
63,93,29,61
64,226,135,121
65,225,131,111
66,225,129,105
67,227,130,108
68,227,132,107
69,227,135,109
70,229,137,111
71,234,144,113
72,237,144,111
73,233,126,101
74,204,90,85
75,168,60,73
76,159,56,73
77,162,59,75
78,159,58,75
79,160,58,74
80,169,64,76
81,174,66,77
82,173,65,77
83,169,64,77
84,166,62,75
85,168,63,77
86,169,66,79
87,173,68,79
88,176,70,82
89,177,72,84
90,178,72,82
91,176,72,84
92,175,70,82
93,174,68,80
94,173,66,78
95,175,70,82
96,170,66,79
97,167,63,77
98,172,68,80
99,163,61,77
100,153,53,73
101,140,45,70
102,134,46,75
103,139,48,73
104,145,46,69
105,144,45,67
106,135,39,64
107,121,32,62
108,116,29,61
109,105,22,57
110,93,19,60
111,89,20,62
112,87,17,60
113,125,50,77
114,169,120,133
115,169,132,146
116,148,101,123
117,131,78,107
118,122,65,98
119,113,55,90
120,102,41,79
121,92,30,71
122,96,27,65
123,142,67,89
124,148,83,102
125,117,48,79
126,94,25,64
127,87,18,58
128,222,132,112
129,224,129,107
130,226,130,106
131,226,131,107
132,228,134,110
133,230,141,115
134,233,143,111
135,230,129,99
136,209,96,85
137,170,60,71
138,148,45,68
139,153,50,70
140,158,55,73
141,157,56,74
142,154,53,72
143,160,56,73
144,169,62,75
145,170,63,76
146,171,63,75
147,169,62,74
148,165,60,73
149,169,61,75
150,172,65,78
151,174,63,75
152,175,64,76
153,173,65,76
154,172,64,76
155,171,64,76
156,169,65,77
157,168,61,75
158,171,62,74
159,172,65,76
160,165,59,73
161,157,55,72
162,158,55,72
163,149,48,69
164,141,42,66
165,130,38,67
166,121,36,70
167,123,33,64
168,131,36,63
169,132,35,62
170,127,31,59
171,125,30,60
172,121,29,60
173,114,27,59
174,119,36,67
175,108,31,65
176,92,19,59
177,106,26,61
178,151,75,91
179,178,135,140
180,196,166,164
181,200,171,167
182,200,171,167
183,199,170,166
184,189,160,159
185,186,156,158
186,189,155,156
187,188,154,154
188,182,149,153
189,170,130,140
190,175,131,140
191,174,127,135
192,221,129,108
193,223,127,105
194,223,126,105
195,224,131,110
196,230,142,115
197,231,140,110
198,226,119,94
199,211,89,80
200,179,62,71
201,168,60,73
202,176,67,78
203,177,67,76
204,175,64,75
205,174,67,79
206,171,63,76
207,172,62,74
